null,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
-1,0,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,1,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,2,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,3,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,4,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,5,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,6,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,7,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,8,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,0,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,1,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,2,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,3,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,4,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,5,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,6,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,7,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,8,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,10,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,11,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,12,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,13,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,14,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,15,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,17,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,18,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,19,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,20,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,21,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,22,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,23,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,24,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,25,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,26,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,27,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,28,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,29,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,30,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,31,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,32,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,33,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,34,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,35,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,36,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,37,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,38,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,39,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,41,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,42,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,43,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,44,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,45,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,46,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,47,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,48,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,49,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,50,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
-1,51,100,unetgan1,3,0,0,1,1,3,1,1,17,64,1
